,epsilon,Optimal lbd ,Optimal RSS,Optimal lbd DP1,Optimal RSS DP1,Optimal lbd DP2,Optimal RSS DP2
6,3.233,10,0.2450832673497476,10,0.24493140873498045,10,0.2867200978459054
7,3.3339999999999996,10,0.24404932267776305,10,0.2440858612201501,10,0.2647044775579403
8,3.435,10,0.25292025388309386,10,0.2529147226453564,1,0.2447248560679341
9,3.536,10,0.2352457372477056,10,0.23534756220893865,10,0.2511211784656528
10,3.637,10,0.24177776646795315,10,0.2417382875142261,10,0.2594778415034522
11,3.738,10,0.24921212721970945,10,0.2493839034254222,10,0.2555097054357642
12,3.839,10,0.24784591766220554,10,0.2478004672509511,10,0.2323874128316771
13,3.94,10,0.2691090429698024,10,0.2691338558191185,1,0.2668625870350313
14,4.041,10,0.25070313486719953,10,0.2506040204820535,10,0.2582186532842459
15,4.1419999999999995,10,0.24912550135370856,10,0.24908168741554115,10,0.25340921272867506
16,4.243,10,0.2425247929106996,10,0.2424236829539509,10,0.24760685506304525
17,4.343999999999999,10,0.26988425082395673,10,0.2701463908931916,10,0.2358477396182867
18,4.445,10,0.24666400233059654,10,0.24655881253922105,10,0.2738043376280428
19,4.546,10,0.2585686012592003,10,0.2585437137960851,10,0.2564850206134704
20,4.647,1,0.25304448298951626,1,0.2531297919176349,10,0.25699134469426704
21,4.748,10,0.2738734344707392,10,0.2739655623794855,10,0.25877145641519744
22,4.849000000000001,10,0.2790017262117492,10,0.2789533089523071,10,0.2528259607166257
23,4.950000000000001,10,0.23817190439771066,10,0.2381669336751154,10,0.2521722337398445
24,5.051000000000001,10,0.2572364604138649,10,0.25715405093889177,10,0.23888994889844695
25,5.152000000000001,10,0.25162915052125434,10,0.2518547785555997,10,0.237624575438944
26,5.253000000000001,10,0.2510837466720863,10,0.25105426662089536,10,0.2634452939514991
0,5.354000000000001,10,0.24839690413521004,10,0.24843196294653674,10,0.2384470076688538
1,5.455000000000001,10,0.27854823685134417,10,0.2785168843432937,10,0.25432538897929075
2,5.556000000000001,10,0.2697382220114783,10,0.2699002873523684,10,0.25086985266382433
3,5.657000000000001,10,0.2564173566799257,10,0.2563152067669807,1,0.24270188101894466
4,5.758000000000001,1,0.2446330873866292,1,0.2445952388763003,10,0.2373742400050004
5,5.859000000000001,10,0.26271509201475673,10,0.26274758591090586,10,0.2402203987896952
6,5.960000000000001,10,0.2306670498491128,10,0.230611438372758,10,0.25907597905106244
7,6.061000000000001,10,0.27726458053946057,10,0.2774305582716126,10,0.2421778587495529
8,6.162000000000001,10,0.2498688979491513,10,0.2498607702856181,10,0.25279316800985835
9,6.263000000000001,10,0.26810790808094354,10,0.26823839742723793,1,0.2432420864283951
10,6.364000000000001,10,0.2455081149835753,10,0.2454395178404508,10,0.25168254010139895
11,6.465000000000002,10,0.2311953108291151,10,0.23111198251073894,10,0.26098604556108873
12,6.566000000000002,10,0.23076552259533134,10,0.23071314583817795,10,0.2607569485928146
13,6.667000000000002,10,0.2527852825466511,10,0.2527195174609548,10,0.24984924575245404
14,6.768000000000002,10,0.23635502213196805,10,0.23634883770992055,10,0.27487637116185737
15,6.8690000000000015,10,0.24503549597361626,10,0.2449976118376656,10,0.2469945618709629
16,6.9700000000000015,1,0.2711595177531003,1,0.2710872129652516,10,0.23362544669457985
17,7.0710000000000015,10,0.2382848345861804,10,0.2381113485768073,10,0.2773530792412743
18,7.1720000000000015,10,0.2706608697944561,10,0.2707894439542584,10,0.2510445335468145
19,7.2730000000000015,10,0.25286384842613435,10,0.2527935874234334,10,0.24585640959047345
20,7.374,10,0.24674740034445036,10,0.24656194477841786,10,0.26304365182985
